CV,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax
4405,45.7056974182137,22.3482160854735,3.22000002861023,88.6999969482422,12.2059999465942,75.5,5.6100001335144,79.1999969482422,63.2940000534058,73.5899968147278,85.479996919632
4406,69.8819533361639,17.7679197549098,19.6700000762939,116.900001525879,48,95.5999984741211,41.5999984741211,100.5,47.5999984741211,58.9000015258789,97.2300014495851
4407,45.1933655214655,19.1171781081347,3.20000004768372,110.599998474121,26.5170003890991,79,22.2000007629395,89.6999969482422,52.4829996109009,67.4999961853027,107.399998426437
4408,42.2753854537544,17.6973185373724,1.73000001907349,96,21.1700000762939,66.8000030517578,14.4899997711182,74.4000015258789,45.6300029754639,59.9100017547607,94.2699999809265
4409,12.162018145935,12.6596430462705,-60.9500007629395,59.0200004577637,0.610000014305115,31.7800006866455,0.430000007152557,38.8699989318848,31.1700006723404,38.4399989247322,119.970001220703
4410,17.1392359326899,12.1289090774208,-29.8700008392334,59.8400001525879,2.3199999332428,33.7000007629395,1.46000003814697,37.7069995880127,31.3800008296967,36.2469995498657,89.7100009918213
4418,38.1738386996434,17.6380141664132,-25.6000003814697,87.1999969482422,14.1899995803833,61.7900009155274,8.06999969482422,71.5,47.6000013351441,63.4300003051758,112.799997329712
4419,25.2093110334466,16.3904146977329,0,80.0999984741211,3.25,47.2000007629395,2.25,53.2999992370606,43.9500007629395,51.0499992370606,80.0999984741211
4420,23.4536434917816,13.0051557384375,-51.1500015258789,61.4000015258789,6.86100010871887,40.8300018310547,3.56549993753433,46.560001373291,33.9690017223358,42.9945014357567,112.550003051758
4421,18.3212975971909,10.8530696514924,-118.839996337891,41.310001373291,3.6800000667572,29.7000007629395,2.17000007629395,31.5400009155273,26.0200006961823,29.3700008392334,160.149997711182
4423,13.459240866755,12.5259602562718,-34.75,61.5200004577637,0.939999997615814,31.2199993133545,-1.37000000476837,36.8965007781982,30.2799993157387,38.2665007829666,96.2700004577637
4424,30.8470976244918,25.3968019446405,-4.78000020980835,79.5899963378906,2.5699999332428,65.0899963378906,1.25,68,62.5199964046478,66.75,84.369996547699
4425,50.3113920060807,13.4539372667781,6.30000019073486,74,32.4000015258789,66,23.8450000762939,68.1900024414063,33.5999984741211,44.3450023651124,67.6999998092651
4427,3.56683926998402,3.85125793989108,-57.9599990844727,31.9500007629395,0.620000004768372,8.53999996185303,-1.48000001907349,10.6800003051758,7.91999995708466,12.1600003242493,89.9099998474122
4428,26.9492481487988,17.9335495695136,0.509999990463257,73.9000015258789,1.71000003814697,50.9000015258789,1.03999996185303,57.7000007629395,49.1900014877319,56.6600008010865,73.3900015354157
4429,15.3307206175703,11.7019532205062,-0.639999985694885,58.7900009155274,2.47000002861023,31.5,2.13000011444092,36.2000007629395,29.0299999713898,34.0700006484986,59.4300009012223
4430,48.2750227740894,30.9973595674373,-0.340000003576279,106.099998474121,5.61999988555908,88.5,4.26999998092651,92.4000015258789,82.8800001144409,88.1300015449524,106.439998477697
4431,30.4445555477301,13.4226253371978,-50.9599990844727,60.9300003051758,11.25,48.2999992370606,5.78000020980835,51.4000015258789,37.0499992370606,45.6200013160706,111.889999389649
4489,24.6672837346593,14.8887811583873,0.769999980926514,60.7200012207031,7.90000009536743,47.6749992370606,5.24749994277954,52.0324993133545,39.7749991416931,46.784999370575,59.9500012397766
4496,18.7722644439257,12.3660951168947,-1.0900000333786,63.0900001525879,5.13000011444092,36.5900001525879,-0.161999997496605,42.4500007629395,31.460000038147,42.6120007604361,64.1800001859665
4497,22.5019784798583,10.899695061995,-1.5,43.75,5.82000017166138,34.8120014190674,4.05000019073486,36.5,28.992001247406,32.4499998092651,45.25
4498,35.829608674889,16.0293126214376,-0.75,65.1900024414063,9.10000038146973,54.2900009155274,4.92999982833862,56.5900001525879,45.1900005340577,51.6600003242493,65.9400024414063
4499,16.5609964428939,12.0663968830561,-12.1999998092651,46.2900009155274,2.83999991416931,34.8600006103516,1.33000004291534,39.2700004577637,32.0200006961823,37.9400004148484,58.4900007247925
4501,104.013795459475,11.3829947469732,74.6900024414063,130.399993896484,85.8899993896485,117.400001525879,82.7900009155274,120.699996948242,31.5100021362305,37.9099960327146,55.7099914550777
4502,105.026935768341,13.8086025717461,75.9100036621094,139.800003051758,88.2460006713867,124.23800201416,83.6100006103516,127.589996337891,35.9920013427737,43.9799957275394,63.8899993896486
4503,122.233582865889,9.61091260057638,95.1900024414063,168.070007324219,107.620002746582,133.550003051758,103,136.070007324219,25.930000305176,33.070007324219,72.8800048828127
4504,131.172599416932,31.7034233394625,65.5,197.100006103516,87.6999969482422,173.100006103516,83.0999984741211,177.889999389648,85.4000091552738,94.7900009155269,131.600006103516
4505,114.461441983557,10.8477796630258,85.5800018310547,144.220001220703,99.7600021362305,128.600006103516,95.870002746582,131.740005493164,28.8400039672855,35.870002746582,58.6399993896483
